ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,鲜重(g),干重(g),株高(cm),分蘖数,绿叶面积(mm2),叶片数,SandBox,D1,D2,RFD,stage,frac,frac_stage,frac_SFD,frac_SandBox,frac_D1,frac_D2,frac_RFD
4,970,912,0.940206186,1005.958,1.037070103,115775.167,13.09%,1.725,1.415,14.56412962,0.375,0.163,0.1,0.076,0.06,0.052,0.047,0.04,0.03,0.021,0.017,0.019,0.094,0.379,0.224,0.138,0.097,0.069,48.83,8.219999999,75.1,19,92047.7433,60,1.543822216,2.124223362,1.501256635,2.318354401,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
5,652,1002,1.536809816,1049.554,1.609745399,80566.833,12.33%,1.712,1.366,14.09365605,0.334,0.167,0.112,0.083,0.064,0.056,0.051,0.045,0.031,0.02,0.013,0.024,0.089,0.362,0.228,0.157,0.094,0.07,43.07,6.62,74.3,13,74653.9,40,1.514635932,2.082880528,1.454708122,2.304644169,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
6,735,813,1.106122449,852.28,1.159564626,118693.333,19.86%,1.786,1.416,14.27566001,0.312,0.157,0.103,0.076,0.059,0.047,0.037,0.031,0.027,0.035,0.057,0.06,0.072,0.33,0.208,0.141,0.085,0.164,46.57,9.520000002,60.1,27,128588.0285,80,1.606963864,2.107201361,1.504460799,2.29612409,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
7,705,751,1.065248227,820.089,1.163246809,128430.583,24.26%,1.813,1.426,14.40502753,0.269,0.147,0.104,0.076,0.057,0.049,0.041,0.035,0.037,0.043,0.049,0.093,0.07,0.289,0.195,0.132,0.093,0.221,52.42000001,12.23,54.9,31,163283.2788,96,1.629024598,2.113114785,1.514071029,2.30367692,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
8,594,549,0.924242424,602.252,1.013892256,83276.417,25.54%,1.813,1.374,13.88772982,0.276,0.153,0.098,0.067,0.056,0.043,0.034,0.031,0.035,0.041,0.066,0.101,0.082,0.292,0.185,0.113,0.083,0.246,49.8,7.979999996,43,48,110944,94,1.638213113,2.073086425,1.466452217,2.318948635,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
9,657,729,1.109589041,775.25,1.179984779,102593.417,21.42%,1.768,1.396,14.04084205,0.301,0.148,0.096,0.073,0.06,0.05,0.049,0.047,0.056,0.052,0.038,0.031,0.07,0.309,0.219,0.152,0.114,0.136,48.86999999,9.58,54.5,23,103543.9717,52,1.567413143,2.094463397,1.481363108,2.296822196,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
10,582,893,1.534364261,963.387,1.655304124,75747.917,14.57%,1.707,1.355,14.03615232,0.339,0.149,0.099,0.084,0.069,0.065,0.056,0.045,0.034,0.025,0.014,0.02,0.099,0.335,0.216,0.175,0.103,0.074,34.51,5.909999998,69.3,12,67797.62762,34,1.51423878,2.076644517,1.43035473,2.315626528,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
11,579,669,1.155440415,727.802,1.256998273,73849.917,19.07%,1.767,1.353,13.78035391,0.289,0.13,0.094,0.082,0.067,0.054,0.052,0.047,0.047,0.053,0.047,0.038,0.074,0.304,0.201,0.165,0.13,0.127,34.91,5.640000003,50.8,17,71190.7,46,1.569681737,2.06690875,1.439155745,2.31402804,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
12,563,728,1.293072824,769.281,1.366396092,66055.333,16.12%,1.756,1.337,13.83471955,0.259,0.142,0.097,0.087,0.082,0.07,0.064,0.05,0.039,0.032,0.036,0.042,0.086,0.272,0.216,0.186,0.128,0.112,23.14000001,5.090000002,54.1,21,52402.3901,39,1.548195549,2.056286442,1.411925178,2.345469339,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1
13,717,802,1.118549512,837.982,1.168733612,100545.75,17.49%,1.763,1.39,14.34390254,0.338,0.15,0.092,0.069,0.059,0.057,0.058,0.053,0.043,0.034,0.024,0.023,0.073,0.312,0.209,0.168,0.128,0.111,38.18999999,8.799999996,57.5,14,83083.40448,42,1.556591632,2.089607162,1.458976106,2.289343449,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
15,886,940,1.060948081,978.112,1.103963883,115136,13.82%,1.673,1.413,14.37976765,0.423,0.176,0.088,0.067,0.062,0.051,0.045,0.039,0.026,0.013,0.005,0.005,0.081,0.422,0.238,0.147,0.082,0.03,48.94,9.719999995,72.8,17,96761.23861,51,1.514167861,2.110629408,1.492380913,2.289906926,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
21,778,745,0.957583548,803.1555556,1.032333619,140924.75,24.31%,1.819,1.443,14.29565695,0.276,0.138,0.088,0.067,0.059,0.051,0.043,0.036,0.036,0.046,0.067,0.094,0.068,0.28,0.189,0.125,0.104,0.233,74.37999996,13.80999999,57.8,43,179533.899,114,1.622630189,2.12410125,1.531315511,2.307757549,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
22,914,839,0.917943107,908.3407407,0.99380825,167350.333,21.82%,1.804,1.466,14.53251297,0.289,0.151,0.106,0.079,0.058,0.042,0.035,0.037,0.037,0.041,0.053,0.071,0.069,0.298,0.21,0.122,0.087,0.214,90.07999996,16.11,64,37,227351.976,117,1.630201049,2.141115755,1.561810909,2.28003183,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
24,703,698,0.992887624,736.4888889,1.047637111,108665.583,22.15%,1.804,1.405,14.06789849,0.241,0.148,0.101,0.078,0.066,0.057,0.049,0.045,0.044,0.043,0.053,0.076,0.069,0.295,0.201,0.148,0.11,0.176,65.21999998,12.01,52.8,30,160060.803,101,1.624710866,2.099675941,1.492118974,2.311193,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
25,677,630,0.930576071,727.722,1.074921713,82673.25,19.38%,1.792,1.375,13.90542218,0.28,0.149,0.1,0.072,0.061,0.056,0.045,0.035,0.037,0.05,0.057,0.058,0.084,0.291,0.201,0.135,0.112,0.177,36.50000002,6.970000002,48.2,22,94253.7221,65,1.596975743,2.080151134,1.471183403,2.332356913,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1
27,922,816,0.885032538,966.021,1.047745119,129427.5,17.20%,1.746,1.433,14.41771788,0.33,0.168,0.108,0.075,0.057,0.047,0.043,0.046,0.045,0.034,0.027,0.019,0.08,0.35,0.218,0.148,0.105,0.099,56.26,10.21,65.9,23,130993.2073,73,1.565535372,2.131995573,1.526929029,2.285996909,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
28,475,687,1.446315789,730.562963,1.53802729,66143.833,20.27%,1.752,1.338,13.90268577,0.252,0.149,0.104,0.084,0.071,0.066,0.063,0.059,0.053,0.047,0.026,0.026,0.072,0.282,0.235,0.169,0.129,0.114,20.62000001,4.71,50,13,55916.179,38,1.568179,2.052068263,1.404512653,2.327331427,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
30,947,887,0.936642027,904.974,0.955621964,155983.833,18.57%,1.79,1.452,14.4154234,0.309,0.162,0.089,0.068,0.054,0.049,0.049,0.044,0.042,0.046,0.048,0.04,0.067,0.332,0.193,0.137,0.116,0.155,55.72,12.50999999,66,29,188842.2223,78,1.610326164,2.125208827,1.543249027,2.275339521,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
31,602,843,1.400332226,876.383,1.455785714,95466.333,18.81%,1.746,1.385,14.24522411,0.318,0.168,0.112,0.08,0.066,0.066,0.057,0.046,0.033,0.022,0.017,0.015,0.061,0.335,0.222,0.194,0.114,0.074,28.28999999,6.04,61.2,14,74955.98666,39,1.55778765,2.080625455,1.465072725,2.300939505,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
33,776,826,1.06443299,889.0814815,1.145723559,141434.75,22.07%,1.811,1.441,14.4253322,0.289,0.129,0.081,0.062,0.052,0.052,0.051,0.052,0.05,0.056,0.06,0.067,0.067,0.274,0.176,0.148,0.125,0.211,68.23999999,11.68999999,63,32,141486.991,86,1.614083142,2.132157696,1.525563856,2.307841199,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
35,721,1000,1.386962552,1102.414815,1.529008065,111899.75,15.52%,1.761,1.41,14.35148947,0.352,0.139,0.09,0.072,0.062,0.058,0.05,0.044,0.041,0.037,0.03,0.025,0.084,0.35,0.197,0.153,0.097,0.119,46.30999998,9.280000002,78,23,114228.427,60,1.561289088,2.106545846,1.491411656,2.308397056,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
36,891,816,0.915824916,936.308,1.05085073,147422.417,20.28%,1.791,1.446,14.64354084,0.319,0.135,0.085,0.071,0.062,0.053,0.049,0.046,0.046,0.049,0.044,0.041,0.066,0.314,0.193,0.15,0.124,0.153,53.73000001,12.89,66.9,22,141924.4461,76,1.603719457,2.136129864,1.525138774,2.286383841,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
37,998,889,0.890781563,969.805,0.971748497,122500.083,13.81%,1.752,1.419,14.56055557,0.35,0.139,0.081,0.067,0.063,0.07,0.067,0.054,0.042,0.03,0.021,0.017,0.075,0.318,0.214,0.176,0.129,0.088,47.91000001,11.51,65.6,17,108852.4504,43,1.577413341,2.110897915,1.492845482,2.289543337,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
38,899,851,0.946607341,903.244,1.004720801,137537,17.98%,1.775,1.434,14.40917004,0.317,0.19,0.113,0.065,0.045,0.033,0.026,0.03,0.035,0.039,0.049,0.059,0.074,0.369,0.194,0.102,0.089,0.171,54.56999999,10.84,65.1,23,148196.8958,70,1.609941352,2.12201717,1.5200845,2.280895584,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
39,878,840,0.956719818,906.798,1.032799544,167513.667,22.71%,1.782,1.466,14.67065459,0.299,0.154,0.102,0.079,0.063,0.056,0.047,0.041,0.038,0.036,0.043,0.043,0.068,0.33,0.204,0.138,0.118,0.142,71.64999998,15.18,63.5,29,165522.6918,76,1.602681252,2.148626312,1.553704555,2.278420475,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
42,864,786,0.909722222,871.03,1.008136574,113499.75,16.71%,1.751,1.408,14.22247343,0.349,0.169,0.112,0.074,0.054,0.046,0.036,0.033,0.028,0.028,0.034,0.037,0.07,0.37,0.219,0.151,0.08,0.11,43.47,8.88,60.8,27,104173.4068,63,1.549148725,2.104883894,1.495537078,2.286075997,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
43,796,883,1.109296482,909.816,1.142984925,122975.917,17.50%,1.783,1.417,14.41550115,0.345,0.144,0.083,0.06,0.05,0.046,0.044,0.047,0.055,0.061,0.041,0.025,0.07,0.324,0.17,0.156,0.131,0.15,47.14000002,10.25,64,21,131566.4826,64,1.602123057,2.10475191,1.501819284,2.286836714,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
44,669,819,1.224215247,882.572,1.319240658,100684.833,18.38%,1.757,1.393,14.14257655,0.329,0.177,0.112,0.077,0.063,0.052,0.044,0.035,0.033,0.032,0.027,0.018,0.081,0.359,0.217,0.158,0.098,0.087,45.29999998,9.97,63.5,18,120118.1282,57,1.57790562,2.088291135,1.482178874,2.310373732,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
45,623,799,1.282504013,831.226,1.33423114,89236.5,17.93%,1.767,1.375,14.2153801,0.311,0.162,0.103,0.073,0.055,0.052,0.051,0.047,0.044,0.037,0.032,0.032,0.08,0.345,0.198,0.153,0.114,0.11,30.71999999,6.470000003,58.5,17,81728.30183,52,1.580277836,2.081892731,1.45460743,2.323521098,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
47,825,919,1.113939394,1011.033,1.225494545,117853.75,15.54%,1.722,1.415,14.51486456,0.402,0.155,0.09,0.062,0.048,0.046,0.047,0.051,0.043,0.029,0.014,0.011,0.084,0.388,0.199,0.158,0.108,0.062,41.92999999,8.460000003,72.5,18,94794.58084,43,1.571499551,2.106444455,1.493157819,2.300418469,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
48,612,884,1.444444444,925.157,1.511694444,110125.25,20.36%,1.768,1.406,14.2102047,0.317,0.155,0.101,0.085,0.065,0.052,0.046,0.04,0.036,0.037,0.033,0.033,0.074,0.337,0.214,0.155,0.103,0.117,48.83,9.180000003,65.5,23,99624.75666,58,1.560961628,2.097239453,1.492001362,2.29997715,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
49,719,725,1.008344924,806.625,1.121870654,112890.167,21.66%,1.794,1.409,14.22593021,0.294,0.175,0.101,0.065,0.048,0.04,0.035,0.036,0.034,0.037,0.055,0.08,0.071,0.317,0.188,0.113,0.085,0.226,47.05,9.069999999,59.5,21,129450.0978,60,1.630591168,2.098618066,1.49538672,2.30290155,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
50,763,776,1.017038008,820.467,1.075317169,129926.083,21.94%,1.799,1.429,14.31195679,0.281,0.157,0.113,0.077,0.059,0.046,0.04,0.037,0.039,0.044,0.05,0.057,0.068,0.312,0.21,0.14,0.089,0.181,58.00999997,11.34,57.5,34,158158,98,1.620844893,2.119247889,1.521581435,2.285546276,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
51,666,638,0.957957958,762.48,1.144864865,62226.167,14.64%,1.738,1.333,13.78298022,0.359,0.171,0.092,0.057,0.042,0.035,0.036,0.046,0.06,0.046,0.029,0.028,0.098,0.346,0.182,0.123,0.125,0.127,28.05,4.889999998,50.8,14,63680.6,38,1.5793121,2.059509824,1.415419116,2.326906108,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
52,508,785,1.545275591,816.918,1.608106299,69323.833,17.38%,1.722,1.341,13.81014511,0.231,0.162,0.124,0.111,0.09,0.073,0.059,0.049,0.041,0.031,0.014,0.016,0.067,0.27,0.245,0.203,0.145,0.069,26.77000001,4.939999999,57.5,11,58005.91349,30,1.540923009,2.056921826,1.411672783,2.311523564,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
53,856,742,0.86682243,798.576,0.932915888,98857.25,15.56%,1.757,1.394,14.23238665,0.347,0.173,0.107,0.069,0.047,0.036,0.031,0.03,0.034,0.04,0.043,0.044,0.094,0.359,0.193,0.112,0.087,0.155,37.63000001,6.450000001,56,21,102332,72,1.593716173,2.101663136,1.483170821,2.302174942,stage 1,f2,12,stage_1_frac_2,stage_1_frac_0,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
54,393,517,1.315521628,537.663,1.368099237,43169.25,21.25%,1.74,1.285,13.40422178,0.253,0.163,0.112,0.075,0.063,0.052,0.043,0.043,0.046,0.049,0.051,0.049,0.089,0.272,0.214,0.155,0.125,0.145,19.66000001,2.88,36.9,14,33097.4,22,1.555828481,2.024096013,1.339070181,2.365684505,stage 1,f2,12,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1
55,1164,753,0.646907216,1149.822222,0.987819779,183062.917,20.89%,1.756,1.476,14.71556967,0.311,0.178,0.117,0.078,0.059,0.048,0.045,0.042,0.041,0.039,0.03,0.013,0.081,0.354,0.211,0.14,0.119,0.094,79.02,14.82,84,30,182042.772,88,1.578646368,2.16559904,1.563630639,2.290951267,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
56,685,874,1.275912409,915.7481481,1.33685861,113638.417,18.98%,1.77,1.412,14.21254461,0.277,0.136,0.109,0.087,0.068,0.06,0.051,0.049,0.053,0.049,0.033,0.029,0.08,0.299,0.212,0.162,0.119,0.128,54.11000002,9.050000003,66,23,102361.515,62,1.545966509,2.104870345,1.495628624,2.314259593,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
57,726,1081,1.488980716,1168.499,1.609502755,103642.083,13.21%,1.673,1.399,14.34220284,0.423,0.165,0.1,0.08,0.067,0.048,0.036,0.027,0.019,0.012,0.007,0.016,0.093,0.435,0.224,0.137,0.068,0.042,45.29999998,8.219999999,83,12,83493.9183,35,1.473706695,2.097267317,1.477494642,2.284440132,stage 1,f2,12,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
58,707,742,1.04950495,825.682,1.167867044,96421.75,18.38%,1.764,1.388,14.19285233,0.315,0.156,0.089,0.062,0.049,0.051,0.053,0.055,0.057,0.048,0.032,0.033,0.08,0.294,0.199,0.15,0.14,0.138,37.74,7.220000001,57.9,14,93127.2803,45,1.583037671,2.08973124,1.468012086,2.298938253,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
59,821,750,0.913520097,845.739,1.030132765,141599.667,23.00%,1.763,1.439,14.33117525,0.334,0.169,0.102,0.073,0.06,0.048,0.037,0.036,0.037,0.038,0.037,0.03,0.067,0.35,0.21,0.129,0.093,0.15,58.38999998,12,58.2,30,156057.0823,72,1.606341378,2.109317702,1.517721172,2.274923724,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
60,856,698,0.815420561,863.095,1.008288551,133989.417,22.43%,1.802,1.437,14.28933708,0.296,0.158,0.096,0.074,0.062,0.052,0.039,0.031,0.033,0.035,0.052,0.073,0.071,0.327,0.188,0.131,0.095,0.187,62.21000003,11.35,56.9,27,176216.5479,94,1.604655857,2.125339429,1.527288868,2.32074464,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
61,814,756,0.928746929,796.769,0.978831695,133574.083,21.71%,1.818,1.431,14.2390865,0.263,0.14,0.093,0.066,0.058,0.054,0.041,0.04,0.039,0.045,0.05,0.112,0.065,0.268,0.176,0.141,0.108,0.242,65.66999999,11.95,55.7,31,188792,101,1.625350596,2.118256136,1.51948552,2.285627843,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
62,881,786,0.892167991,872.049,0.989839955,128762.25,18.59%,1.775,1.426,14.27876438,0.327,0.18,0.108,0.065,0.041,0.034,0.033,0.032,0.034,0.042,0.051,0.054,0.08,0.377,0.182,0.105,0.084,0.172,65.62000003,12.31,62.5,31,162956.3505,90,1.58835901,2.107571929,1.512339199,2.28596983,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
63,615,762,1.23902439,793.185,1.289731707,90246.75,19.26%,1.774,1.379,13.95333018,0.273,0.158,0.109,0.064,0.051,0.048,0.049,0.052,0.048,0.046,0.052,0.051,0.08,0.291,0.191,0.144,0.125,0.17,42.72000001,8.370000004,56,22,85146,53,1.568469898,2.078262369,1.462858293,2.311494375,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
65,878,780,0.888382688,826.49,0.941332574,137056.75,20.01%,1.795,1.435,14.26377533,0.301,0.149,0.094,0.064,0.055,0.048,0.048,0.045,0.046,0.048,0.052,0.049,0.074,0.305,0.186,0.14,0.114,0.181,57.53999999,11.47,58,35,155526,95,1.589751414,2.124997431,1.522677303,2.288287661,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
67,677,816,1.205317578,859.356,1.269358936,78076.75,14.13%,1.728,1.359,13.87289212,0.327,0.149,0.094,0.084,0.076,0.065,0.059,0.052,0.04,0.027,0.013,0.013,0.084,0.342,0.216,0.183,0.115,0.061,32.61000001,6.389999998,61.3,14,72570.48075,45,1.530280943,2.071155873,1.442417082,2.303577395,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
68,786,669,0.851145038,695.294,0.884597964,114487.25,21.77%,1.798,1.417,14.23612987,0.27,0.17,0.109,0.073,0.053,0.042,0.035,0.032,0.031,0.036,0.053,0.095,0.082,0.305,0.195,0.122,0.081,0.215,54.28,9.369999998,59.9,33,156977.4919,93,1.630420497,2.113289745,1.502670089,2.313815138,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
69,617,760,1.231766613,813.773,1.318918963,94826.167,20.22%,1.782,1.385,14.08335268,0.305,0.156,0.098,0.067,0.056,0.047,0.044,0.037,0.035,0.04,0.055,0.061,0.076,0.302,0.206,0.132,0.104,0.181,51.88999998,9.369999998,56.3,24,104197,68,1.582728169,2.085188093,1.465676708,2.313127803,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
70,907,1009,1.112458655,1111.303704,1.225252154,111537.417,12.19%,1.731,1.411,14.25296996,0.333,0.157,0.109,0.083,0.068,0.058,0.048,0.039,0.033,0.028,0.02,0.025,0.087,0.34,0.234,0.155,0.093,0.091,56.25,9.330000001,81,18,105205.458,51,1.53631795,2.102212209,1.492318369,2.306692006,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2
72,1065,1070,1.004694836,1240.892,1.165156808,181194.833,15.90%,1.735,1.474,14.82298378,0.375,0.184,0.102,0.069,0.049,0.04,0.041,0.039,0.037,0.029,0.021,0.015,0.078,0.392,0.218,0.139,0.09,0.083,79.71999997,14.34,92.9,21,167088.0423,65,1.583443383,2.164408769,1.567375234,2.273699414,stage 1,f0,10,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
73,1097,880,0.802187785,1043.228,0.95098268,194483.417,20.15%,1.745,1.484,14.91269658,0.375,0.18,0.099,0.064,0.049,0.042,0.04,0.041,0.038,0.03,0.022,0.02,0.077,0.392,0.212,0.131,0.1,0.088,74.23999996,16.2,86,26,163637.536,75,1.595132233,2.176915081,1.572312791,2.289549363,stage 1,f0,10,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
74,810,962,1.187654321,979.204,1.208893827,91736.083,11.77%,1.695,1.381,14.12895138,0.397,0.179,0.094,0.065,0.052,0.052,0.045,0.039,0.03,0.018,0.012,0.017,0.079,0.408,0.217,0.154,0.085,0.057,37.57000002,6.13,84.2,14,82553.39973,37,1.520763901,2.083157169,1.464442885,2.282109963,stage 1,f2,12,stage_1_frac_2,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_0
76,778,864,1.110539846,1001.891,1.287777635,125468.583,18.67%,1.737,1.427,14.63671386,0.412,0.161,0.094,0.066,0.049,0.043,0.039,0.036,0.032,0.03,0.022,0.016,0.087,0.39,0.199,0.143,0.1,0.082,43.3,8.670000002,71,21,120406,63,1.566675587,2.120034473,1.511504825,2.301451519,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_2
79,1224,969,0.791666667,1253.67,1.024240196,146173.667,12.32%,1.678,1.443,14.60396288,0.448,0.176,0.103,0.078,0.06,0.042,0.029,0.021,0.015,0.011,0.009,0.009,0.078,0.489,0.228,0.112,0.056,0.037,62.46000001,11.38999999,89.1,18,112510.2003,47,1.505657061,2.128289874,1.522180591,2.27873329,stage 1,f2,12,stage_1_frac_1,stage_1_frac_2,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
80,899,978,1.087875417,1036.186,1.152598443,148398.333,16.88%,1.77,1.445,14.78015726,0.397,0.167,0.105,0.064,0.043,0.039,0.042,0.039,0.034,0.027,0.024,0.018,0.072,0.345,0.205,0.137,0.102,0.139,59.97999998,12.36,76,20,138305.9935,56,1.62629148,2.122770732,1.526725942,2.295576353,stage 1,f2,12,stage_1_frac_1,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
81,717,910,1.269177127,981.232,1.368524407,118217.083,18.12%,1.738,1.415,14.55040894,0.374,0.179,0.103,0.065,0.048,0.041,0.036,0.036,0.033,0.03,0.028,0.026,0.082,0.398,0.203,0.116,0.094,0.106,34.00000001,7.580000003,71,14,94269.76082,46,1.579404252,2.110364674,1.494079439,2.298954042,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_0
82,1200,979,0.815833333,1062.643,0.885535833,167168.417,14.23%,1.744,1.461,14.66788455,0.388,0.165,0.088,0.066,0.053,0.045,0.04,0.039,0.038,0.035,0.024,0.019,0.083,0.399,0.203,0.128,0.088,0.099,81.64,13.18,83.6,24,158206.2714,73,1.574917185,2.150298779,1.546874308,2.280370139,stage 1,f2,12,stage_1_frac_1,stage_1_frac_1,stage_1_frac_1,stage_1_frac_2,stage_1_frac_0
83,761,971,1.275952694,1045.811,1.37425887,88329.667,11.95%,1.673,1.38,14.26675771,0.392,0.162,0.099,0.077,0.068,0.058,0.044,0.031,0.021,0.017,0.013,0.019,0.101,0.39,0.228,0.152,0.07,0.058,33.86000001,6.279999997,76,10,64605.87294,36,1.501499443,2.092787487,1.465859957,2.313824133,stage 1,f2,12,stage_1_frac_2,stage_1_frac_2,stage_1_frac_0,stage_1_frac_1,stage_1_frac_2
86,501,594,1.185628743,670.02,1.337365269,32470.667,10.91%,1.61,1.249,13.49835356,0.411,0.168,0.101,0.068,0.06,0.051,0.04,0.032,0.028,0.014,0.007,0.02,0.123,0.392,0.217,0.142,0.079,0.046,9.100000004,2.63,58.5,7,19374,12,1.424005026,2.02187321,1.302041235,2.333929762,stage 1,f1,11,stage_1_frac_0,stage_1_frac_2,stage_1_frac_0,stage_1_frac_0,stage_1_frac_1
