ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,鲜重(g),干重(g),株高(cm),分蘖数,绿叶面积(mm2),叶片数,SandBox,D1,D2,RFD,stage,frac,frac_stage,frac_SFD,frac_SandBox,frac_D1,frac_D2,frac_RFD
121,1231,2000,1.62469537,2046.118519,1.662159641,484717,19.69%,1.762,1.585,16.11699559,0.281,0.159,0.115,0.092,0.073,0.063,0.059,0.055,0.041,0.028,0.02,0.014,0.061,0.326,0.25,0.178,0.109,0.076,341.8399999,118.3899999,138,,263110.1428,,1.661055217,2.327253886,1.64588534,2.290929611,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1
122,1126,1444,1.282415631,1502.414815,1.334293796,362333.083,22.28%,1.795,1.55,15.58019426,0.285,0.152,0.101,0.074,0.057,0.053,0.051,0.048,0.05,0.053,0.045,0.03,0.057,0.294,0.207,0.156,0.12,0.166,265.6600001,91.47999999,104,,319237.1996,,1.682683378,2.235368146,1.608616809,2.259357235,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1,stage_3_frac_0,stage_3_frac_0
128,1228,1844,1.501628664,2047.6,1.66742671,424613.5,18.75%,1.768,1.572,16.22395971,0.267,0.179,0.144,0.109,0.081,0.06,0.044,0.033,0.024,0.021,0.02,0.017,0.072,0.326,0.253,0.172,0.097,0.079,255.58,95.11999996,152,,263894.6351,,1.676119324,2.315631238,1.637206101,2.307816589,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1
129,1218,1714,1.407224959,1939.451852,1.592325002,586938.333,28.11%,1.841,1.619,16.1257089,0.249,0.159,0.109,0.077,0.059,0.051,0.044,0.044,0.038,0.049,0.063,0.059,0.078,0.272,0.197,0.128,0.104,0.22,493.3799999,162.1800001,140,,341056.649,,1.721139316,2.331123967,1.649212373,2.312556272,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1
130,1096,1733,1.58120438,1792.785185,1.635752906,352298.5,18.55%,1.779,1.55,15.87066435,0.32,0.174,0.112,0.074,0.057,0.05,0.043,0.038,0.033,0.034,0.03,0.036,0.077,0.359,0.207,0.139,0.096,0.122,288.6500001,82.30000003,106,,253229.7069,,1.686463004,2.255650971,1.599427403,2.281472316,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
132,1259,2150,1.707704527,2444.637037,1.94172918,674375.917,24.91%,1.82,1.632,16.26479741,0.23,0.159,0.125,0.101,0.084,0.075,0.063,0.05,0.037,0.027,0.025,0.025,0.048,0.285,0.212,0.174,0.132,0.15,520.43,146.5300001,173,,441000.6781,,1.675151735,2.321513168,1.666164844,2.265212703,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
134,1018,1912,1.878192534,1952.785185,1.918256567,499145.917,25.64%,1.839,1.6,16.02076294,0.213,0.14,0.122,0.108,0.088,0.069,0.05,0.039,0.035,0.039,0.048,0.049,0.056,0.255,0.235,0.169,0.11,0.175,427.41,133.23,151,,384350.0126,,1.692525461,2.282964528,1.612660135,2.283449509,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
135,1234,1817,1.472447326,2068.340741,1.676127018,408285.583,18.21%,1.773,1.564,16.05052634,0.342,0.177,0.104,0.066,0.048,0.041,0.039,0.039,0.038,0.036,0.036,0.034,0.074,0.352,0.208,0.125,0.099,0.142,305.79,84.95999996,139,,275291.9177,,1.676110062,2.288309249,1.597882001,2.2872522,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
137,1227,2126,1.732681337,2154.266667,1.755718555,378841,14.52%,1.739,1.555,15.98838127,0.395,0.175,0.109,0.083,0.066,0.049,0.033,0.022,0.019,0.018,0.015,0.015,0.083,0.407,0.238,0.133,0.066,0.072,222.02,95.86000003,165,,239249.4144,,1.625857445,2.25445411,1.598484296,2.271277817,stage 3,f0,30,stage_3_frac_0,stage_3_frac_1,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0
138,1142,2048,1.793345009,2075.748148,1.817642862,430003.083,18.39%,1.775,1.574,16.31317086,0.301,0.18,0.12,0.08,0.054,0.045,0.04,0.037,0.034,0.033,0.037,0.039,0.082,0.332,0.219,0.143,0.092,0.132,356.1899999,109.02,147,,257656.7826,,1.68474553,2.318057021,1.609802163,2.294502777,stage 3,f3,33,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_0,stage_3_frac_1
